Loan Value,,Digits,Count,Actual Percentage,Expected Percentage
5000,,1,14977,37.6%,30.1%
2500,,2,6721,16.9%,17.6%
2400,,3,3421,8.6%,12.5%
10000,,4,2472,6.2%,9.7%
3000,,5,3014,7.6%,7.9%
5000,,6,2920,7.3%,6.7%
7000,,7,2329,5.9%,5.8%
3000,,8,2390,6.0%,5.1%
5600,,9,1542,3.9%,4.6%
5375,,,,100.00%,100.00%
6500,,,,,
12000,,,,,
9000,,,,,
3000,,,,,
10000,,,,,
1000,,,,,
10000,,,,,
3600,,,,,
6000,,,,,
9200,,,,,
20250,,,,,
21000,,,,,
10000,,,,,
10000,,,,,
6000,,,,,
15000,,,,,
15000,,,,,
5000,,,,,
4000,,,,,
8500,,,,,
4375,,,,,
31825,,,,,
10000,,,,,
5000,,,,,
7000,,,,,
12400,,,,,
10800,,,,,
15000,,,,,
6000,,,,,
12500,,,,,
9600,,,,,
12000,,,,,
3000,,,,,
4400,,,,,
6000,,,,,
14000,,,,,
5000,,,,,
10000,,,,,
10000,,,,,
11000,,,,,
15000,,,,,
25600,,,,,
7000,,,,,
12000,,,,,
12000,,,,,
21000,,,,,
16000,,,,,
10000,,,,,
10000,,,,,
7100,,,,,
13000,,,,,
17500,,,,,
17675,,,,,
8000,,,,,
10000,,,,,
3500,,,,,
12500,,,,,
16425,,,,,
8200,,,,,
15000,,,,,
20975,,,,,
6400,,,,,
3000,,,,,
12000,,,,,
14400,,,,,
12000,,,,,
11000,,,,,
7250,,,,,
15000,,,,,
18000,,,,,
35000,,,,,
10000,,,,,
11800,,,,,
4500,,,,,
7000,,,,,
9200,,,,,
14000,,,,,
4500,,,,,
12000,,,,,
12000,,,,,
12000,,,,,
7000,,,,,
8200,,,,,
10500,,,,,
7000,,,,,
15300,,,,,
20000,,,,,
17500,,,,,
3500,,,,,
6000,,,,,
6200,,,,,
16000,,,,,
6000,,,,,
7200,,,,,
9500,,,,,
18825,,,,,
24000,,,,,
6000,,,,,
6000,,,,,
2100,,,,,
5500,,,,,
11000,,,,,
26800,,,,,
8000,,,,,
10000,,,,,
8000,,,,,
10000,,,,,
12000,,,,,
10000,,,,,
12000,,,,,
25000,,,,,
19750,,,,,
10000,,,,,
13650,,,,,
28000,,,,,
18000,,,,,
2500,,,,,
21000,,,,,
35000,,,,,
10000,,,,,
7000,,,,,
24000,,,,,
10625,,,,,
5000,,,,,
8850,,,,,
6375,,,,,
6000,,,,,
11100,,,,,
10000,,,,,
6200,,,,,
15000,,,,,
4200,,,,,
14000,,,,,
8875,,,,,
13500,,,,,
12000,,,,,
16000,,,,,
21600,,,,,
6000,,,,,
8450,,,,,
20000,,,,,
10000,,,,,
12000,,,,,
13475,,,,,
7200,,,,,
5600,,,,,
12000,,,,,
8500,,,,,
8000,,,,,
8000,,,,,
16000,,,,,
15000,,,,,
10000,,,,,
10000,,,,,
8000,,,,,
22000,,,,,
6000,,,,,
16000,,,,,
2500,,,,,
13500,,,,,
25000,,,,,
10000,,,,,
2500,,,,,
7325,,,,,
4000,,,,,
10000,,,,,
7750,,,,,
20000,,,,,
9600,,,,,
21000,,,,,
14000,,,,,
13350,,,,,
15000,,,,,
15000,,,,,
11000,,,,,
35000,,,,,
9000,,,,,
22475,,,,,
16000,,,,,
13500,,,,,
24000,,,,,
12000,,,,,
8400,,,,,
28000,,,,,
14000,,,,,
12000,,,,,
25000,,,,,
9000,,,,,
13250,,,,,
20000,,,,,
3000,,,,,
7350,,,,,
11500,,,,,
13650,,,,,
10500,,,,,
12000,,,,,
6000,,,,,
11500,,,,,
7000,,,,,
29500,,,,,
2000,,,,,
11625,,,,,
15075,,,,,
5300,,,,,
8200,,,,,
12000,,,,,
8650,,,,,
21000,,,,,
16000,,,,,
12000,,,,,
9500,,,,,
7400,,,,,
14400,,,,,
24250,,,,,
7200,,,,,
26000,,,,,
7000,,,,,
4000,,,,,
1500,,,,,
19600,,,,,
2500,,,,,
10000,,,,,
10000,,,,,
4225,,,,,
3500,,,,,
12000,,,,,
16500,,,,,
22000,,,,,
12000,,,,,
15600,,,,,
10800,,,,,
14000,,,,,
18825,,,,,
6000,,,,,
12000,,,,,
10000,,,,,
8000,,,,,
14125,,,,,
14000,,,,,
13200,,,,,
4000,,,,,
4000,,,,,
10500,,,,,
5500,,,,,
7350,,,,,
10000,,,,,
12000,,,,,
5000,,,,,
8000,,,,,
4500,,,,,
18000,,,,,
12300,,,,,
12000,,,,,
10000,,,,,
6000,,,,,
12000,,,,,
12000,,,,,
7000,,,,,
35000,,,,,
1400,,,,,
16000,,,,,
3200,,,,,
8000,,,,,
11875,,,,,
5000,,,,,
1800,,,,,
35000,,,,,
18000,,,,,
14000,,,,,
5000,,,,,
8000,,,,,
10000,,,,,
10000,,,,,
12000,,,,,
23200,,,,,
18000,,,,,
4800,,,,,
7300,,,,,
10400,,,,,
6600,,,,,
12000,,,,,
13250,,,,,
12000,,,,,
25000,,,,,
6000,,,,,
12000,,,,,
14400,,,,,
10000,,,,,
8000,,,,,
8000,,,,,
30000,,,,,
18000,,,,,
13250,,,,,
14000,,,,,
20000,,,,,
10000,,,,,
35000,,,,,
4000,,,,,
13000,,,,,
28000,,,,,
10000,,,,,
20000,,,,,
18000,,,,,
9000,,,,,
25000,,,,,
10000,,,,,
4200,,,,,
20000,,,,,
18000,,,,,
24000,,,,,
4475,,,,,
20000,,,,,
12000,,,,,
18000,,,,,
5000,,,,,
3000,,,,,
25000,,,,,
18000,,,,,
12000,,,,,
20000,,,,,
10000,,,,,
15000,,,,,
12000,,,,,
20000,,,,,
6300,,,,,
20000,,,,,
35000,,,,,
8250,,,,,
20000,,,,,
10000,,,,,
24000,,,,,
14400,,,,,
6000,,,,,
22000,,,,,
12000,,,,,
16000,,,,,
10000,,,,,
16000,,,,,
10000,,,,,
3500,,,,,
9600,,,,,
9875,,,,,
21500,,,,,
4800,,,,,
7800,,,,,
20000,,,,,
9750,,,,,
18000,,,,,
5000,,,,,
9000,,,,,
7200,,,,,
3000,,,,,
25000,,,,,
25000,,,,,
10000,,,,,
8875,,,,,
15550,,,,,
17000,,,,,
7500,,,,,
8875,,,,,
4500,,,,,
5800,,,,,
10000,,,,,
10000,,,,,
14000,,,,,
25000,,,,,
12000,,,,,
24000,,,,,
14000,,,,,
12000,,,,,
15000,,,,,
8050,,,,,
5600,,,,,
7500,,,,,
7000,,,,,
5400,,,,,
16000,,,,,
35000,,,,,
6000,,,,,
4125,,,,,
9800,,,,,
15700,,,,,
5000,,,,,
9900,,,,,
4000,,,,,
15000,,,,,
6250,,,,,
6400,,,,,
8850,,,,,
12000,,,,,
15000,,,,,
6500,,,,,
8000,,,,,
30000,,,,,
15000,,,,,
10200,,,,,
9000,,,,,
6500,,,,,
23000,,,,,
2000,,,,,
8000,,,,,
8875,,,,,
1500,,,,,
8000,,,,,
20000,,,,,
6500,,,,,
9600,,,,,
25975,,,,,
10000,,,,,
15000,,,,,
9000,,,,,
10000,,,,,
1000,,,,,
14000,,,,,
8500,,,,,
15000,,,,,
4500,,,,,
3000,,,,,
10000,,,,,
21250,,,,,
33425,,,,,
35000,,,,,
7200,,,,,
18000,,,,,
23000,,,,,
20000,,,,,
6000,,,,,
7000,,,,,
21000,,,,,
8250,,,,,
13000,,,,,
18000,,,,,
7200,,,,,
16500,,,,,
8125,,,,,
18800,,,,,
26800,,,,,
19200,,,,,
12875,,,,,
4000,,,,,
4000,,,,,
12000,,,,,
2625,,,,,
18000,,,,,
7000,,,,,
11300,,,,,
4000,,,,,
8000,,,,,
14400,,,,,
4375,,,,,
4100,,,,,
6000,,,,,
4200,,,,,
4000,,,,,
3000,,,,,
5400,,,,,
15000,,,,,
20000,,,,,
10400,,,,,
4500,,,,,
11500,,,,,
10000,,,,,
18225,,,,,
3600,,,,,
18500,,,,,
16800,,,,,
10000,,,,,
15000,,,,,
8000,,,,,
25000,,,,,
16000,,,,,
8000,,,,,
7200,,,,,
12000,,,,,
2200,,,,,
20000,,,,,
28000,,,,,
6000,,,,,
25000,,,,,
8000,,,,,
14400,,,,,
20000,,,,,
25000,,,,,
14050,,,,,
6000,,,,,
16100,,,,,
35000,,,,,
10525,,,,,
7200,,,,,
18500,,,,,
12000,,,,,
12000,,,,,
3000,,,,,
9500,,,,,
19775,,,,,
12000,,,,,
28000,,,,,
30000,,,,,
16000,,,,,
14500,,,,,
11700,,,,,
4150,,,,,
15000,,,,,
24000,,,,,
21250,,,,,
10000,,,,,
25000,,,,,
4000,,,,,
15000,,,,,
20000,,,,,
15000,,,,,
3600,,,,,
6000,,,,,
15000,,,,,
12000,,,,,
12375,,,,,
4000,,,,,
13000,,,,,
5000,,,,,
5000,,,,,
26000,,,,,
15000,,,,,
4000,,,,,
8000,,,,,
1700,,,,,
16000,,,,,
20000,,,,,
12000,,,,,
7000,,,,,
8000,,,,,
13000,,,,,
13000,,,,,
20000,,,,,
18000,,,,,
10000,,,,,
22250,,,,,
24000,,,,,
11200,,,,,
7000,,,,,
8000,,,,,
22500,,,,,
12000,,,,,
22000,,,,,
6200,,,,,
15900,,,,,
5000,,,,,
16000,,,,,
5000,,,,,
3150,,,,,
12000,,,,,
28000,,,,,
5000,,,,,
3000,,,,,
3000,,,,,
8400,,,,,
7000,,,,,
18550,,,,,
2000,,,,,
12000,,,,,
8575,,,,,
28000,,,,,
10000,,,,,
25000,,,,,
8000,,,,,
16000,,,,,
25000,,,,,
2000,,,,,
16800,,,,,
8000,,,,,
12000,,,,,
11000,,,,,
5000,,,,,
18000,,,,,
10000,,,,,
5000,,,,,
10000,,,,,
25000,,,,,
2400,,,,,
3000,,,,,
7700,,,,,
2400,,,,,
18500,,,,,
5000,,,,,
14000,,,,,
24500,,,,,
2400,,,,,
1800,,,,,
22200,,,,,
21400,,,,,
13000,,,,,
8000,,,,,
3600,,,,,
12375,,,,,
9400,,,,,
9600,,,,,
17000,,,,,
25000,,,,,
16950,,,,,
30000,,,,,
10800,,,,,
6000,,,,,
35000,,,,,
10000,,,,,
15000,,,,,
5000,,,,,
3000,,,,,
7100,,,,,
12000,,,,,
22400,,,,,
5825,,,,,
22250,,,,,
18000,,,,,
6000,,,,,
7650,,,,,
21000,,,,,
20675,,,,,
13200,,,,,
12000,,,,,
20000,,,,,
15000,,,,,
27050,,,,,
22500,,,,,
20500,,,,,
12800,,,,,
27575,,,,,
7000,,,,,
7600,,,,,
29000,,,,,
10000,,,,,
14125,,,,,
12000,,,,,
9575,,,,,
12000,,,,,
12000,,,,,
10000,,,,,
10000,,,,,
25000,,,,,
24000,,,,,
14575,,,,,
9000,,,,,
10000,,,,,
7125,,,,,
15000,,,,,
13000,,,,,
12000,,,,,
18000,,,,,
30000,,,,,
21600,,,,,
7600,,,,,
7000,,,,,
7000,,,,,
3600,,,,,
3500,,,,,
5000,,,,,
10000,,,,,
4500,,,,,
12000,,,,,
12000,,,,,
10700,,,,,
6000,,,,,
20000,,,,,
10800,,,,,
25000,,,,,
20000,,,,,
3600,,,,,
6000,,,,,
10375,,,,,
25000,,,,,
10000,,,,,
10000,,,,,
5600,,,,,
6000,,,,,
8000,,,,,
35000,,,,,
10000,,,,,
11000,,,,,
5000,,,,,
6500,,,,,
20000,,,,,
12000,,,,,
8250,,,,,
21000,,,,,
8400,,,,,
7000,,,,,
12000,,,,,
7200,,,,,
12000,,,,,
12800,,,,,
3050,,,,,
9000,,,,,
10000,,,,,
10000,,,,,
10000,,,,,
8500,,,,,
35000,,,,,
7200,,,,,
21000,,,,,
27000,,,,,
28625,,,,,
4000,,,,,
7300,,,,,
18000,,,,,
5000,,,,,
6500,,,,,
14100,,,,,
35000,,,,,
10000,,,,,
3000,,,,,
25000,,,,,
28000,,,,,
10000,,,,,
12000,,,,,
10000,,,,,
11000,,,,,
10000,,,,,
5000,,,,,
5000,,,,,
5000,,,,,
6000,,,,,
5000,,,,,
20050,,,,,
7000,,,,,
25000,,,,,
3000,,,,,
8400,,,,,
24925,,,,,
5000,,,,,
12000,,,,,
12000,,,,,
13200,,,,,
6000,,,,,
10000,,,,,
17500,,,,,
6500,,,,,
10000,,,,,
12000,,,,,
10000,,,,,
12375,,,,,
10000,,,,,
4400,,,,,
20000,,,,,
25000,,,,,
14125,,,,,
35000,,,,,
13600,,,,,
20000,,,,,
18000,,,,,
13000,,,,,
35000,,,,,
35000,,,,,
12000,,,,,
7200,,,,,
25000,,,,,
4000,,,,,
7000,,,,,
15000,,,,,
12800,,,,,
35000,,,,,
15000,,,,,
7200,,,,,
13000,,,,,
28000,,,,,
12000,,,,,
16000,,,,,
14000,,,,,
11500,,,,,
10500,,,,,
14400,,,,,
16000,,,,,
5375,,,,,
12000,,,,,
12000,,,,,
17000,,,,,
30000,,,,,
13000,,,,,
7125,,,,,
14000,,,,,
8000,,,,,
12500,,,,,
10000,,,,,
12000,,,,,
14000,,,,,
7500,,,,,
19200,,,,,
9000,,,,,
16000,,,,,
20000,,,,,
9000,,,,,
9600,,,,,
12000,,,,,
18000,,,,,
1000,,,,,
15000,,,,,
12000,,,,,
12000,,,,,
14000,,,,,
15600,,,,,
10000,,,,,
7200,,,,,
22250,,,,,
13250,,,,,
26400,,,,,
11000,,,,,
9600,,,,,
10000,,,,,
7000,,,,,
11000,,,,,
13000,,,,,
5000,,,,,
6000,,,,,
3000,,,,,
8200,,,,,
17000,,,,,
5000,,,,,
6400,,,,,
13000,,,,,
18000,,,,,
16000,,,,,
13200,,,,,
10000,,,,,
15000,,,,,
5000,,,,,
7200,,,,,
15000,,,,,
15700,,,,,
5000,,,,,
9600,,,,,
16000,,,,,
35000,,,,,
21000,,,,,
12000,,,,,
6000,,,,,
20000,,,,,
6000,,,,,
7150,,,,,
13000,,,,,
32000,,,,,
8000,,,,,
15500,,,,,
7000,,,,,
12000,,,,,
10400,,,,,
12000,,,,,
8000,,,,,
16000,,,,,
4500,,,,,
5000,,,,,
3600,,,,,
30000,,,,,
21000,,,,,
7000,,,,,
17475,,,,,
27575,,,,,
7000,,,,,
15000,,,,,
2250,,,,,
17050,,,,,
16500,,,,,
35000,,,,,
3250,,,,,
7000,,,,,
24000,,,,,
13200,,,,,
22750,,,,,
12000,,,,,
30000,,,,,
1200,,,,,
4800,,,,,
18000,,,,,
7200,,,,,
15000,,,,,
10500,,,,,
15000,,,,,
5000,,,,,
12800,,,,,
4000,,,,,
14000,,,,,
27000,,,,,
15000,,,,,
35000,,,,,
2400,,,,,
5900,,,,,
5000,,,,,
22000,,,,,
13250,,,,,
12600,,,,,
20000,,,,,
18000,,,,,
19200,,,,,
7000,,,,,
25000,,,,,
10000,,,,,
2250,,,,,
23000,,,,,
6750,,,,,
10000,,,,,
16000,,,,,
5600,,,,,
12000,,,,,
4800,,,,,
25000,,,,,
10000,,,,,
2200,,,,,
24000,,,,,
16000,,,,,
10000,,,,,
10625,,,,,
9600,,,,,
7200,,,,,
12000,,,,,
5000,,,,,
30000,,,,,
12000,,,,,
18000,,,,,
10000,,,,,
10000,,,,,
26000,,,,,
17475,,,,,
10400,,,,,
10000,,,,,
17250,,,,,
10000,,,,,
12000,,,,,
6000,,,,,
19075,,,,,
20000,,,,,
24000,,,,,
17200,,,,,
15000,,,,,
10625,,,,,
8400,,,,,
28000,,,,,
16000,,,,,
18000,,,,,
15000,,,,,
20675,,,,,
13225,,,,,
11775,,,,,
16400,,,,,
10075,,,,,
10000,,,,,
14000,,,,,
13000,,,,,
15000,,,,,
5000,,,,,
9350,,,,,
30000,,,,,
18225,,,,,
18000,,,,,
3600,,,,,
29000,,,,,
5000,,,,,
6400,,,,,
12000,,,,,
35000,,,,,
18000,,,,,
8075,,,,,
15625,,,,,
24000,,,,,
5000,,,,,
14000,,,,,
6000,,,,,
7200,,,,,
5000,,,,,
6600,,,,,
7000,,,,,
20000,,,,,
8000,,,,,
12000,,,,,
20000,,,,,
10000,,,,,
16000,,,,,
10000,,,,,
18000,,,,,
4000,,,,,
15000,,,,,
10000,,,,,
29500,,,,,
20125,,,,,
30000,,,,,
24000,,,,,
14000,,,,,
5375,,,,,
8300,,,,,
7000,,,,,
2425,,,,,
6950,,,,,
12375,,,,,
35000,,,,,
14000,,,,,
14000,,,,,
5500,,,,,
4800,,,,,
9000,,,,,
16000,,,,,
5000,,,,,
35000,,,,,
18500,,,,,
5350,,,,,
25000,,,,,
10000,,,,,
12000,,,,,
18000,,,,,
3000,,,,,
6000,,,,,
20000,,,,,
35000,,,,,
10000,,,,,
12000,,,,,
5875,,,,,
10000,,,,,
28000,,,,,
11200,,,,,
10000,,,,,
20000,,,,,
9450,,,,,
19000,,,,,
18825,,,,,
20400,,,,,
21650,,,,,
24000,,,,,
24500,,,,,
9000,,,,,
15000,,,,,
20000,,,,,
7100,,,,,
6000,,,,,
5600,,,,,
7000,,,,,
20300,,,,,
6000,,,,,
30000,,,,,
12000,,,,,
13650,,,,,
24000,,,,,
6200,,,,,
25000,,,,,
12000,,,,,
2300,,,,,
8875,,,,,
18800,,,,,
12000,,,,,
9000,,,,,
7600,,,,,
16000,,,,,
12000,,,,,
22500,,,,,
20000,,,,,
6000,,,,,
7200,,,,,
8000,,,,,
24575,,,,,
18000,,,,,
19000,,,,,
14400,,,,,
8400,,,,,
7500,,,,,
30000,,,,,
12375,,,,,
10000,,,,,
22000,,,,,
12000,,,,,
5000,,,,,
21000,,,,,
24000,,,,,
6000,,,,,
4800,,,,,
5000,,,,,
5850,,,,,
17000,,,,,
21000,,,,,
17475,,,,,
4750,,,,,
12000,,,,,
5275,,,,,
9175,,,,,
9600,,,,,
34475,,,,,
22500,,,,,
12000,,,,,
12000,,,,,
10050,,,,,
21000,,,,,
15000,,,,,
19400,,,,,
10000,,,,,
10000,,,,,
4800,,,,,
35000,,,,,
18200,,,,,
6400,,,,,
13000,,,,,
2500,,,,,
6300,,,,,
4400,,,,,
6000,,,,,
20500,,,,,
8800,,,,,
17000,,,,,
18000,,,,,
20000,,,,,
10000,,,,,
16000,,,,,
34000,,,,,
16000,,,,,
11100,,,,,
21000,,,,,
12000,,,,,
5000,,,,,
21000,,,,,
10625,,,,,
18500,,,,,
3600,,,,,
8500,,,,,
12000,,,,,
11700,,,,,
15000,,,,,
13000,,,,,
9500,,,,,
20000,,,,,
1800,,,,,
20000,,,,,
6000,,,,,
13000,,,,,
14400,,,,,
5000,,,,,
12000,,,,,
25000,,,,,
21650,,,,,
19500,,,,,
5000,,,,,
5200,,,,,
6000,,,,,
4000,,,,,
15000,,,,,
8000,,,,,
16500,,,,,
11900,,,,,
20000,,,,,
4000,,,,,
12000,,,,,
10200,,,,,
12000,,,,,
3000,,,,,
3500,,,,,
11000,,,,,
17000,,,,,
15000,,,,,
12000,,,,,
29100,,,,,
5000,,,,,
25850,,,,,
16400,,,,,
12000,,,,,
9600,,,,,
8000,,,,,
17500,,,,,
16000,,,,,
35000,,,,,
4000,,,,,
1500,,,,,
14000,,,,,
8000,,,,,
8000,,,,,
25000,,,,,
4000,,,,,
20400,,,,,
10000,,,,,
10000,,,,,
6000,,,,,
35000,,,,,
18000,,,,,
3300,,,,,
15000,,,,,
6000,,,,,
35000,,,,,
20000,,,,,
12200,,,,,
4200,,,,,
25000,,,,,
22575,,,,,
20000,,,,,
18000,,,,,
10000,,,,,
12000,,,,,
8000,,,,,
7175,,,,,
15000,,,,,
22500,,,,,
35000,,,,,
12000,,,,,
35000,,,,,
18250,,,,,
20000,,,,,
15000,,,,,
12500,,,,,
15000,,,,,
16750,,,,,
8000,,,,,
10400,,,,,
6000,,,,,
7000,,,,,
10000,,,,,
12000,,,,,
12000,,,,,
17000,,,,,
12950,,,,,
16000,,,,,
10000,,,,,
8000,,,,,
24000,,,,,
7700,,,,,
15000,,,,,
30000,,,,,
12000,,,,,
1200,,,,,
9000,,,,,
12000,,,,,
5000,,,,,
10400,,,,,
30000,,,,,
7200,,,,,
3500,,,,,
19500,,,,,
6350,,,,,
15000,,,,,
10000,,,,,
8400,,,,,
12000,,,,,
22750,,,,,
20000,,,,,
8875,,,,,
5000,,,,,
11200,,,,,
4000,,,,,
15000,,,,,
14750,,,,,
15000,,,,,
2500,,,,,
13475,,,,,
14000,,,,,
6625,,,,,
10000,,,,,
12000,,,,,
20000,,,,,
14000,,,,,
35000,,,,,
4800,,,,,
12875,,,,,
1400,,,,,
22000,,,,,
12000,,,,,
9000,,,,,
12000,,,,,
17000,,,,,
18000,,,,,
2000,,,,,
8000,,,,,
10000,,,,,
6900,,,,,
6000,,,,,
13000,,,,,
18650,,,,,
2400,,,,,
8000,,,,,
25975,,,,,
5000,,,,,
12500,,,,,
20000,,,,,
4800,,,,,
30000,,,,,
25000,,,,,
9250,,,,,
2400,,,,,
12000,,,,,
3000,,,,,
12000,,,,,
10000,,,,,
10000,,,,,
20000,,,,,
16000,,,,,
22800,,,,,
18000,,,,,
3500,,,,,
20000,,,,,
3000,,,,,
27300,,,,,
12250,,,,,
20000,,,,,
4350,,,,,
21200,,,,,
2700,,,,,
8000,,,,,
6000,,,,,
7000,,,,,
7000,,,,,
6025,,,,,
15000,,,,,
18000,,,,,
20250,,,,,
3825,,,,,
10000,,,,,
6000,,,,,
2400,,,,,
7200,,,,,
14000,,,,,
8400,,,,,
13000,,,,,
4200,,,,,
20000,,,,,
7000,,,,,
13250,,,,,
3600,,,,,
14000,,,,,
6000,,,,,
9000,,,,,
15000,,,,,
10000,,,,,
9000,,,,,
5325,,,,,
12000,,,,,
14000,,,,,
20000,,,,,
16000,,,,,
35000,,,,,
11000,,,,,
5000,,,,,
20000,,,,,
35000,,,,,
12000,,,,,
12000,,,,,
14150,,,,,
4000,,,,,
12000,,,,,
6000,,,,,
17000,,,,,
15000,,,,,
4200,,,,,
15000,,,,,
18000,,,,,
19000,,,,,
30000,,,,,
35000,,,,,
16000,,,,,
